text,label
Was there a drought in Ludhiana in 2012?,sql
What permissions does a Project Owner have?,platform
How to clean and reshape datasets?,platform
Tell me about NPCYF.,platform
How to add a new user?,platform
What is the purpose of Data Management module?,platform
What is the average rainfall in Uttar Pradesh?,sql
How to install pandas?,general
How does Admin Management work?,platform
Write a poem.,general
Do we have temperature data for Gujarat?,sql
Hello,general
What is the capital of India?,general
What was the total rainfall in Punjab in 2013?,sql
What is the purpose of Data Management module?,platform
How to generate a forecast?,platform
You are helpful.,general
How to monitor model execution status?,platform
See you later,general
Is this a chatbot?,general
Count of districts in Kerala.,sql
What are the key features of NPCYF?,platform
Show crop yields for 2021.,sql
What is the yield of Sugarcane in Kerala?,sql
How to manage users in NPCYF?,platform
Who is a Super Admin?,platform
How to change my profile settings?,platform
What can you do?,general
Explain Data ETL.,platform
See you later,general
How does Admin Management work?,platform
Who discovered gravity?,general
You are helpful.,general
How does Forecasting work?,platform
How to install pandas?,general
How far is the moon?,general
How to generate a forecast?,platform
"What is the total rainfall for Bhubaneswar in December, 2005?",sql
Give me the area under Sugarcane cultivation in Ludhiana.,sql
Compare rainfall between Uttar Pradesh and Odisha in 2021.,sql
How much Wheat was produced in 2004?,sql
How to generate a forecast?,platform
I want to know about Copilot.,platform
Tell me about NPCYF.,platform
List all crops grown in Kerala.,sql
Show me the production of Maize in Odisha for 2014.,sql
How to make coffee?,general
What is the smallest bird?,general
How does Admin Management work?,platform
"What is the total rainfall for Gujarat in August, 2017?",sql
Who created you?,general
How do I cook rice?,general
What are the key features of NPCYF?,platform
What is the URL for UPAG data?,platform
How does Forecasting work?,platform
Tell me the humidity levels in Visakhapatnam.,sql
Explain Feature Engineering.,platform
How to make coffee?,general
How to change my profile settings?,platform
What is the color of the sky?,general
What is 2 + 2?,general
What is the yield of Wheat in Patna?,sql
What is your name?,general
How to install pandas?,general
How many continents are there?,general
Explain Master Data.,platform
What is the average rainfall in Ahmedabad?,sql
What is the yield of Wheat in Patna?,sql
Count of districts in Bihar.,sql
Tell me a joke.,general
What is the IMD CRIS portal?,platform
Compare rainfall between Andhra Pradesh and West Bengal in 2009.,sql
What matches are on today?,general
What is the meaning of life?,general
"What is the total rainfall for Gujarat in June, 2001?",sql
Explain NPCYF.,platform
Give me the area under Wheat cultivation in Visakhapatnam.,sql
Give me the area under Sugarcane cultivation in Ahmedabad.,sql
Thanks,general
What are the system requirements for NPCYF?,platform
What is NPCYF?,platform
What is the IMD CRIS portal?,platform
How to run a model training batch?,platform
How to view the logs?,platform
Is there any data for Monsoon season in Lucknow?,sql
Write a poem.,general
Count of districts in Gujarat.,sql
Hello,general
What is the best programming language?,general
Where can I find trained models?,platform
How does Data Ingestion work?,platform
What is the average rainfall in West Bengal?,sql
Show crop yields for 2015.,sql
How to change my profile settings?,platform
How to install pandas?,general
Show crop yields for 2000.,sql
What is the average rainfall in Ahmedabad?,sql
Find the maximum temperature of Ludhiana in 2023.,sql
What is the yield of Wheat in Punjab?,sql
Who won the world cup?,general
What is the color of the sky?,general
Count of districts in West Bengal.,sql
Hi,general
Are you human?,general
Compare rainfall between Bihar and Andhra Pradesh in 2002.,sql
Do we have temperature data for Lucknow?,sql
What is the reservoir level of Thiruvananthapuram?,sql
Hi,general
Compare rainfall between Uttar Pradesh and Gujarat in 2021.,sql
List all crops grown in Odisha.,sql
Was there a drought in Karnataka in 2015?,sql
Define machine learning.,general
What is a black hole?,general
Tell me about Forecasting.,platform
Bye,general
How to contact technical support?,platform
Is there any data for Rabi season in Kerala?,sql
How to access the Dashboard?,platform
How many countries in the world?,general
How to associate a dataset with a project?,platform
How does Data ETL work?,platform
How's the weather today?,general
List all crops grown in Thiruvananthapuram.,sql
How to associate a dataset with a project?,platform
Suggest a song.,general
What is 2 + 2?,general
Tell me the humidity levels in Odisha.,sql
I want to know about NPCYF.,platform
Where do you live?,general
Did it rain in Ludhiana on 5/10/2004?,sql
Give me the area under Maize cultivation in West Bengal.,sql
What is the IMD CRIS portal?,platform
What was the highest temperature recorded in Ludhiana?,sql
"What is the total rainfall for Bhubaneswar in June, 2015?",sql
Can you dance?,general
Thank you,general
Who is the Prime Minister?,general
What is the yield of Sugarcane in Gujarat?,sql
Find the maximum temperature of Odisha in 2023.,sql
What is the average rainfall in Bihar?,sql
Show crop yields for 2005.,sql
Count of districts in Uttar Pradesh.,sql
Do we have temperature data for Punjab?,sql
How much Sugarcane was produced in 2012?,sql
What is the population of Earth?,general
What is photosynthesis?,general
Is there any data for Zaid season in Bangalore?,sql
How far is the moon?,general
What was the highest temperature recorded in Visakhapatnam?,sql
How to monitor model execution status?,platform
How much Maize was produced in 2011?,sql
Tell me the humidity levels in Bangalore.,sql
What is the meaning of life?,general
Was there a drought in Patna in 2009?,sql
What is ISI?,general
Is this a chatbot?,general
Who is the president of USA?,general
How does Data ETL work?,platform
How to change my profile settings?,platform
How to download data from IndiaStat?,platform
How to create a new project?,platform
Who is a Super Admin?,platform
How to upload APY data?,platform
What is the reservoir level of Bihar?,sql
Explain Master Data.,platform
How to view the logs?,platform
How to use the Data Ingestion tutorial?,platform
Who won the world cup?,general
Do you sleep?,general
How to run a model training batch?,platform
Did it rain in Ahmedabad on 10/11/2010?,sql
What is the date today?,general
What was the highest temperature recorded in Andhra Pradesh?,sql
Do we have temperature data for Thiruvananthapuram?,sql
Do you like pizza?,general
What is a black hole?,general
What is the largest animal?,general
Where can I find trained models?,platform
Do we have temperature data for Kerala?,sql
Count of districts in West Bengal.,sql
How are you?,general
Hi,general
Compare rainfall between Uttar Pradesh and Punjab in 2000.,sql
What was the highest temperature recorded in Visakhapatnam?,sql
Who wrote Harry Potter?,general
What was the total rainfall in Gujarat in 2023?,sql
Give me the area under Rice cultivation in West Bengal.,sql
What is AI?,general
How do airplanes fly?,general
Tell me about Admin Management.,platform
Count of districts in Uttar Pradesh.,sql
Show crop yields for 2016.,sql
I want to know about Forecasting.,platform
Is there any data for Summer season in Lucknow?,sql
Compare rainfall between Punjab and Karnataka in 2013.,sql
Tell me a story.,general
Compare rainfall between Uttar Pradesh and Karnataka in 2013.,sql
Who is the president of USA?,general
How's the weather today?,general
How to ingest data into the platform?,platform
How does User Roles work?,platform
What formats are supported for Rainfall data?,platform
What formats are supported for Rainfall data?,platform
What is the largest animal?,general
What is the largest animal?,general
What was the total rainfall in Patna in 2022?,sql
Who won the world cup?,general
Did it rain in Thiruvananthapuram on 28/6/2003?,sql
Do we have temperature data for Visakhapatnam?,sql
"What is the total rainfall for Kerala in June, 2018?",sql
How much Cotton was produced in 2014?,sql
What is love?,general
Do you like pizza?,general
How does Admin Management work?,platform
Who wrote Harry Potter?,general
Can you dance?,general
How does Data Ingestion work?,platform
Show crop yields for 2016.,sql
Write a poem.,general
Find the maximum temperature of Thiruvananthapuram in 2022.,sql
List all crops grown in Odisha.,sql
Tell me the humidity levels in Andhra Pradesh.,sql
Count of districts in Punjab.,sql
How old are you?,general
How to validate data quality?,platform
Where is Indian Statistical Institute?,general
Show me the production of Jute in Patna for 2009.,sql
Do we have temperature data for Uttar Pradesh?,sql
What is love?,general
Where is Indian Statistical Institute?,general
Tell me about Admin Management.,platform
What was the highest temperature recorded in Thiruvananthapuram?,sql
What was the total rainfall in Thiruvananthapuram in 2010?,sql
Do we have temperature data for Ahmedabad?,sql
Tell me the humidity levels in Odisha.,sql
Can you help me with math?,general
Do we have temperature data for Bihar?,sql
What is your favorite color?,general
What is the largest animal?,general
What are the system requirements for NPCYF?,platform
Find the maximum temperature of Kerala in 2005.,sql
What is your favorite color?,general
How to upload APY data?,platform
What was the total rainfall in Thiruvananthapuram in 2013?,sql
How does Data Ingestion work?,platform
What was the total rainfall in Bangalore in 2023?,sql
What is the best programming language?,general
How to install pandas?,general
How to create a new project?,platform
What is the capital of India?,general
Find the maximum temperature of Bangalore in 2000.,sql
How do airplanes fly?,general
Find the maximum temperature of Ludhiana in 2012.,sql
How do airplanes fly?,general
Show me the production of Cotton in Andhra Pradesh for 2018.,sql
Tell me about NPCYF.,platform
Did it rain in Andhra Pradesh on 8/4/2018?,sql
Where is Indian Statistical Institute?,general
What is the smallest bird?,general
How to perform ETL operations?,platform
I want to know about Feature Engineering.,platform
What is NPCYF?,platform
See you later,general
Show crop yields for 2021.,sql
Give me the area under Sugarcane cultivation in Ahmedabad.,sql
How's the weather today?,general
Do you sleep?,general
How to configure temporal intervals for features?,platform
How to use the Data Ingestion tutorial?,platform
How to access the Admin Management section?,platform
How to access the Admin Management section?,platform
Show me the production of Potato in Lucknow for 2016.,sql
I want to know about Model Building.,platform
What is the minimum temperature in Punjab?,sql
Did it rain in Ludhiana on 27/10/2019?,sql
Show crop yields for 2019.,sql
What is the meaning of life?,general
Find the maximum temperature of Thiruvananthapuram in 2007.,sql
Tell me a story.,general
How do airplanes fly?,general
How to create a new project?,platform
What was the total rainfall in Punjab in 2009?,sql
Do we have temperature data for Bihar?,sql
How to create a new dataset?,platform
Explain Data Ingestion.,platform
What is the yield of Potato in Punjab?,sql
What is a Training Feature Set?,platform
How do I cook rice?,general
What permissions does a Project Owner have?,platform
Can you help me with math?,general
Was there a drought in Kerala in 2018?,sql
How to configure a Model Building Config?,platform
What is the average rainfall in Uttar Pradesh?,sql
What is the minimum temperature in Lucknow?,sql
"What is the total rainfall for Bhubaneswar in June, 2015?",sql
Do you like pizza?,general
How are you?,general
What is your name?,general
What are the key features of NPCYF?,platform
List all crops grown in Karnataka.,sql
How to view project details?,platform
Do we have temperature data for Bhubaneswar?,sql
How much Rice was produced in 2012?,sql
What is Master Data Management?,platform
"What is the total rainfall for Odisha in August, 2023?",sql
How to add a new crop to the system?,platform
What was the highest temperature recorded in Karnataka?,sql
Bye,general
I want to know about Data Ingestion.,platform
What is the time now?,general
How to create a new project?,platform
How to configure a Model Building Config?,platform
How to create a new project?,platform
What is photosynthesis?,general
What was the highest temperature recorded in Ludhiana?,sql
What is the update frequency for APY data?,platform
What is a black hole?,general
What is FASAL 2.0?,platform
What is the minimum temperature in Odisha?,sql
How to perform ETL operations?,platform
I am bored.,general
How many countries in the world?,general
See you later,general
How old are you?,general
Count of districts in Karnataka.,sql
Where can I find trained models?,platform
How to associate a dataset with a project?,platform
How's the weather today?,general
Who is a Super Admin?,platform
How to use the AI Copilot?,platform
Show me the production of Wheat in Odisha for 2007.,sql
What is the reservoir level of Thiruvananthapuram?,sql
How to add a new user?,platform
Where is Indian Statistical Institute?,general
How to handle missing values in the dataset?,platform
"What is the total rainfall for Karnataka in January, 2015?",sql
Tell me about Data ETL.,platform
How to generate a forecast?,platform
What is the IMD CRIS portal?,platform
How's the weather today?,general
How to run a model training batch?,platform
Can you help me with math?,general
What is the average rainfall in Bihar?,sql
Compare rainfall between Punjab and Gujarat in 2014.,sql
How to ingest data into the platform?,platform
What is the largest animal?,general
Show me the production of Potato in Thiruvananthapuram for 2012.,sql
What was the total rainfall in Odisha in 2014?,sql
Do we have temperature data for Bhubaneswar?,sql
What is Master Data Management?,platform
What is the time now?,general
Hello,general
What was the highest temperature recorded in Ahmedabad?,sql
Is this a chatbot?,general
What is the yield of Jute in Thiruvananthapuram?,sql
What was the highest temperature recorded in Bhubaneswar?,sql
What is the yield of Maize in Lucknow?,sql
Who won the world cup?,general
How does Data Ingestion work?,platform
How to generate a forecast?,platform
What is photosynthesis?,general
Tell me about Copilot.,platform
What is AI?,general
Did it rain in Punjab on 4/11/2001?,sql
What is the average rainfall in Bihar?,sql
Can you help me with math?,general
Why is the sky blue?,general
Show me the production of Cotton in Lucknow for 2015.,sql
What is Python?,general
How much Rice was produced in 2005?,sql
What is your favorite color?,general
How to view the logs?,platform
Give me the area under Jute cultivation in West Bengal.,sql
How to contact technical support?,platform
How to manage users in NPCYF?,platform
Is there any data for Monsoon season in Andhra Pradesh?,sql
How's the weather today?,general
What is the average rainfall in Karnataka?,sql
Did it rain in Kerala on 4/8/2003?,sql
How to add a new crop to the system?,platform
What is the reservoir level of Gujarat?,sql
Show crop yields for 2004.,sql
What is the time now?,general
Who is the founder of ISI?,general
Do we have temperature data for Bhubaneswar?,sql
How do I cook rice?,general
What is a black hole?,general
What is a black hole?,general
Find the maximum temperature of West Bengal in 2022.,sql
I want to know about Model Building.,platform
How does Copilot work?,platform
Is there any data for Rabi season in Karnataka?,sql
How to clean and reshape datasets?,platform
What is the update frequency for APY data?,platform
Do aliens exist?,general
How to manage users in NPCYF?,platform
Count of districts in Odisha.,sql
Who won the world cup?,general
How to reset my password?,platform
Show me the production of Potato in Karnataka for 2005.,sql
What is FASAL 2.0?,platform
What matches are on today?,general
Show me the production of Sugarcane in West Bengal for 2023.,sql
What is the best programming language?,general
Define machine learning.,general
Who developed the NPCYF platform?,platform
Did it rain in Gujarat on 4/9/2008?,sql
What is the purpose of Data Management module?,platform
Tell me the humidity levels in Karnataka.,sql
Define machine learning.,general
How old are you?,general
Tell me the humidity levels in Bangalore.,sql
Where is Indian Statistical Institute?,general
How does NPCYF work?,platform
Is there any data for Summer season in Kerala?,sql
Who wrote Harry Potter?,general
How do airplanes fly?,general
Who is the CEO of Google?,general
What is the speed of light?,general
Is this a chatbot?,general
What can you do?,general
How does Feature Engineering work?,platform
Compare rainfall between Bihar and Uttar Pradesh in 2003.,sql
What are the key features of NPCYF?,platform
What is the currency of Japan?,general
What can you do?,general
Do you like pizza?,general
Explain Model Building.,platform
Was there a drought in Kerala in 2004?,sql
How much Potato was produced in 2014?,sql
How to perform ETL operations?,platform
How to make coffee?,general
Who is a Super Admin?,platform
Explain Admin Management.,platform
What is the difference between Ingestion and ETL?,platform
Is there any data for Rabi season in Karnataka?,sql
Find the maximum temperature of Uttar Pradesh in 2014.,sql
What can you do?,general
What is the yield of Potato in Karnataka?,sql
What is Feature Engineering in NPCYF?,platform
I want to know about Admin Management.,platform
What can you do?,general
What is the capital of India?,general
Tell me the humidity levels in Kerala.,sql
Who wrote Harry Potter?,general
Why is the sky blue?,general
Give me the area under Cotton cultivation in Kolkata.,sql
How to monitor model execution status?,platform
Why is the ocean salty?,general
Tell me the humidity levels in Bangalore.,sql
How does Copilot work?,platform
Tell me a story.,general
What is NPCYF?,platform
What are the system requirements for NPCYF?,platform
Where can I find trained models?,platform
Write a poem.,general
What is the minimum temperature in Uttar Pradesh?,sql
What is the email for platform administration?,platform
How old are you?,general
I want to know about Copilot.,platform
How to create a new project?,platform
Where is Indian Statistical Institute?,general
Explain Data Ingestion.,platform
What is Python?,general
"What is the total rainfall for Karnataka in August, 2023?",sql
How does Data ETL work?,platform
Was there a drought in Ludhiana in 2014?,sql
What is the best movie?,general
What is the IMD CRIS portal?,platform
What is the population of Earth?,general
What is the reservoir level of Uttar Pradesh?,sql
How do I cook rice?,general
What is the reservoir level of Andhra Pradesh?,sql
How to configure temporal intervals for features?,platform
What is the average rainfall in Andhra Pradesh?,sql
Who wrote Harry Potter?,general
Tell me about Data Ingestion.,platform
What is Python?,general
How to run a model training batch?,platform
How to configure temporal intervals for features?,platform
How are you?,general
Show me the production of Sugarcane in Thiruvananthapuram for 2008.,sql
Thanks,general
What is the population of Earth?,general
How does Data Ingestion work?,platform
See you later,general
How much Potato was produced in 2008?,sql
Show me the production of Sugarcane in Punjab for 2014.,sql
Show crop yields for 2021.,sql
Who is the Prime Minister?,general
How to view the logs?,platform
What is Exogenous Estimation Config?,platform
Why is the ocean salty?,general
What is the reservoir level of Patna?,sql
How does Data ETL work?,platform
Where is Indian Statistical Institute?,general
Count of districts in Kerala.,sql
"What is the total rainfall for Bangalore in August, 2015?",sql
What is the time now?,general
How to download data from IndiaStat?,platform
How does Forecasting work?,platform
I want to know about Feature Engineering.,platform
Thank you,general
Is there any data for Rabi season in Ahmedabad?,sql
What is a Training Feature Set?,platform
What is the difference between Ingestion and ETL?,platform
What formats are supported for Rainfall data?,platform
What is the smallest bird?,general
What is the yield of Cotton in Gujarat?,sql
Who is the CEO of Google?,general
How old are you?,general
Show crop yields for 2014.,sql
How to upload APY data?,platform
When was ISI established?,general
What is the purpose of Data Management module?,platform
Count of districts in Bihar.,sql
Explain Feature Engineering.,platform
Do you sleep?,general
What is photosynthesis?,general
What are the key features of NPCYF?,platform
Tell me about Data Ingestion.,platform
Bye,general
Who is the president of USA?,general
Count of districts in Bihar.,sql
Is there any data for Zaid season in Gujarat?,sql
What is the average rainfall in Uttar Pradesh?,sql
I want to know about Master Data.,platform
How does Copilot work?,platform
Bye,general
How do airplanes fly?,general
What is the Training Dataset Analysis module?,platform
I am bored.,general
List all crops grown in Gujarat.,sql
Who is the president of USA?,general
What is the difference between Ingestion and ETL?,platform
Explain Feature Engineering.,platform
What was the total rainfall in Bihar in 2022?,sql
How to contact technical support?,platform
What is the email for platform administration?,platform
Can you dance?,general
Explain quantum physics.,general
What is a Training Feature Set?,platform
What is the reservoir level of Bangalore?,sql
Is there any data for Monsoon season in Punjab?,sql
Did it rain in Bhubaneswar on 1/5/2006?,sql
Explain quantum physics.,general
I want to know about NPCYF.,platform
Did it rain in Thiruvananthapuram on 10/11/2021?,sql
When was ISI established?,general
Thank you,general
Can you dance?,general
What is the average rainfall in Punjab?,sql
How much Rice was produced in 2010?,sql
What is the meaning of life?,general
Who won the world cup?,general
Explain Data Ingestion.,platform
What is a black hole?,general
What is the minimum temperature in Patna?,sql
Did it rain in Odisha on 11/7/2006?,sql
Tell me the humidity levels in Lucknow.,sql
Do we have temperature data for Odisha?,sql
How to use the AI Copilot?,platform
Do we have temperature data for Bangalore?,sql
What is the Training Dataset Analysis module?,platform
How do airplanes fly?,general
Compare rainfall between Gujarat and Karnataka in 2011.,sql
What is FASAL 2.0?,platform
How to configure a Model Building Config?,platform
Do you sleep?,general
How to monitor model execution status?,platform
I want to know about Admin Management.,platform
What is photosynthesis?,general
What is the reservoir level of Bangalore?,sql
How to view the logs?,platform
What is a black hole?,general
"What is the total rainfall for Gujarat in January, 2005?",sql
List all crops grown in West Bengal.,sql
Do aliens exist?,general
Good morning,general
Explain Master Data.,platform
What is a Training Feature Set?,platform
What are the key features of NPCYF?,platform
How to use the Data Ingestion tutorial?,platform
"What is the total rainfall for Odisha in December, 2009?",sql
How to view the logs?,platform
Tell me the humidity levels in Odisha.,sql
Explain Forecasting.,platform
Tell me about Data Ingestion.,platform
Who is the CEO of Google?,general
Explain Forecasting.,platform
Tell me about Data Ingestion.,platform
How to install pandas?,general
What is the color of the sky?,general
What is the average rainfall in Karnataka?,sql
What is the minimum temperature in Kolkata?,sql
List all crops grown in Bhubaneswar.,sql
How much Wheat was produced in 2006?,sql
What is the difference between Ingestion and ETL?,platform
How do I log in to the platform?,platform
I am bored.,general
Explain quantum physics.,general
How to download data from IndiaStat?,platform
How to generate a forecast?,platform
How to run a model training batch?,platform
Show me the production of Sugarcane in Andhra Pradesh for 2018.,sql
What is love?,general
How to access the Dashboard?,platform
What is your favorite color?,general
Hello,general
Find the maximum temperature of Thiruvananthapuram in 2003.,sql
Find the maximum temperature of Bihar in 2015.,sql
How to access the Admin Management section?,platform
How does Data ETL work?,platform
List all crops grown in West Bengal.,sql
Show crop yields for 2013.,sql
Do we have temperature data for Andhra Pradesh?,sql
What is the stock price of Apple?,general
How to install pandas?,general
Tell me about Copilot.,platform
How to configure temporal intervals for features?,platform
Count of districts in Karnataka.,sql
How to associate a dataset with a project?,platform
How far is the moon?,general
Tell me about Master Data.,platform
How to use the AI Copilot?,platform
What is the Training Dataset Analysis module?,platform
What is the population of Earth?,general
How much Cotton was produced in 2021?,sql
Explain Forecasting.,platform
What is the time now?,general
Hi,general
How to add a new user?,platform
I want to know about Model Building.,platform
Show me the production of Wheat in Ahmedabad for 2021.,sql
What is Python?,general
What is the URL for UPAG data?,platform
What is Feature Engineering in NPCYF?,platform
How to upload APY data?,platform
Who discovered gravity?,general
Are you human?,general
Who discovered gravity?,general
Tell me about User Roles.,platform
Explain Model Building.,platform
